Gene_Family	Sub_Family	Genomic_Locus_Tag
ABC Superfamily	WBC subfamily	AT1G53270
ABC Superfamily	WBC subfamily	AT1G53390
ABC Superfamily	WBC subfamily	AT5G19410
ABC Superfamily	WBC subfamily	AT3G25620
ABC Superfamily	WBC subfamily	AT1G71960
ABC Superfamily	WBC subfamily	AT2G13610
ABC Superfamily	WBC subfamily	AT2G28070
ABC Superfamily	WBC subfamily	AT2G37360
ABC Superfamily	WBC subfamily	AT2G39350
ABC Superfamily	WBC subfamily	AT4G25750
ABC Superfamily	WBC subfamily	AT2G01320
ABC Superfamily	WBC subfamily	AT4G27420
ABC Superfamily	WBC subfamily	AT5G60740
ABC transporters	ABC transporter-like	AT3G47740
ABC transporters	ABC transporter-like	AT3G47740
ABC transporters	ABC transporter-like	AT3G47750
ABC transporters	ABC transporter-like	AT3G47750
ABC transporters	ABC transporter-like	AT5G61700
ABC transporters	ABC transporter-like	AT5G61700
ABC transporters	ABC transporter-like	AT5G61740
ABC transporters	ABC transporter-like	AT5G61740
ABC transporters	ABC transporter-like	AT5G60740
ABC transporters	ABC transporter-like	AT5G60740
ABC transporters	ABC transporter-like	AT2G34660
ABC transporters	ABC transporter-like	AT2G34660
ABC transporters	ABC transporter-like	AT1G30410
ABC transporters	ABC transporter-like	AT1G30410
ABC transporters	ABC transporter-like	AT3G13080
ABC transporters	ABC transporter-like	AT3G13080
ABC transporters	ABC transporter-like	AT3G13090
ABC transporters	ABC transporter-like	AT3G13090
ABC transporters	ABC transporter-like	AT3G13100
ABC transporters	ABC transporter-like	AT3G13100
ABC transporters	ABC transporter-like	AT3G59140
ABC transporters	ABC transporter-like	AT3G59140
ABC transporters	ABC transporter-like	AT3G60970
ABC transporters	ABC transporter-like	AT3G60970
ABC transporters	ABC transporter-like	AT3G62700
ABC transporters	ABC transporter-like	AT3G62700
ABC transporters	ABC transporter-like	AT3G47770
ABC transporters	ABC transporter-like	AT3G47770
ABC transporters	ABC transporter-like	AT3G47780
ABC transporters	ABC transporter-like	AT3G47780
ABC transporters	ABC transporter-like	AT3G47790
ABC transporters	ABC transporter-like	AT3G47790
ABC transporters	ABC transporter-like	AT3G47760
ABC transporters	ABC transporter-like	AT3G47760
ABC transporters	ABC transporter-like	AT1G30400
ABC transporters	ABC transporter-like	AT1G30400
ABC transporters	ABC transporter-like	AT2G47800
ABC transporters	ABC transporter-like	AT2G47800
ABC transporters	ABC transporter-like	AT1G30420
ABC transporters	ABC transporter-like	AT1G30420
ABC transporters	ABC transporter-like	AT1G53390
ABC transporters	ABC transporter-like	AT1G53390
ABC transporters	ABC transporter-like	AT3G60160
ABC transporters	ABC transporter-like	AT3G60160
ABC transporters	ABC transporter-like	AT1G04120
ABC transporters	ABC transporter-like	AT1G04120
ABC transporters	ABC transporter-like	AT1G71330
ABC transporters	ABC transporter-like	AT1G71330
ABC transporters	ABC transporter-like	AT2G07680
ABC transporters	ABC transporter-like	AT2G07680
ABC transporters	ABC transporter-like	AT3G21250
ABC transporters	ABC transporter-like	AT3G21250
ABC transporters	ABC-type transport-like	AT5G61690
ABC transporters	ABC-type transport-like	AT5G61730
ABC transporters	ABC-type transport-like	AT3G47730
ABC transporters	P-glycoprotein-2	AT4G28620
ABC transporters	P-glycoprotein-2	AT4G28630
ABC transporters	P-glycoprotein-2	AT5G03910
ABC transporters	P-glycoprotein-2	AT5G39040
ABC transporters	P-glycoprotein-2	AT5G58270
ABC transporters	P-glycoprotein-2	AT1G02530
ABC transporters	P-glycoprotein-2	AT5G46540
ABC transporters	P-glycoprotein-2	AT4G18050
ABC transporters	P-glycoprotein-2	AT3G55320
ABC transporters	P-glycoprotein-2	AT3G28344
ABC transporters	P-glycoprotein-2	AT1G02520
ABC transporters	P-glycoprotein-2	AT1G10680
ABC transporters	P-glycoprotein-2	AT1G27940
ABC transporters	P-glycoprotein-2	AT1G28010
ABC transporters	P-glycoprotein-2	AT3G28360
ABC transporters	P-glycoprotein-2	AT3G28390
ABC transporters	P-glycoprotein-2	AT3G28860
ABC transporters	P-glycoprotein-2	AT3G28345
ABC transporters	P-glycoprotein-2	AT4G25960
ABC transporters	P-glycoprotein-2	AT3G62150
ABC transporters	P-glycoprotein-2	AT4G01820
ABC transporters	P-glycoprotein-2	AT1G70610
ABC transporters	P-glycoprotein-2	AT2G36910
ABC transporters	P-glycoprotein-2	AT2G39480
ABC transporters	P-glycoprotein-2	AT2G47000
ABC transporters	P-glycoprotein-2	AT4G01830
ABC transporters	P-glycoprotein-2	AT4G25450
ABC transporters	Putative ABC transporter	AT3G13220
ABC transporters	Putative ABC transporter	AT3G53480
ABC transporters	Putative ABC transporter	AT3G55090
ABC transporters	Putative ABC transporter	AT3G55100
ABC transporters	Putative ABC transporter	AT3G55110
ABC transporters	Putative ABC transporter	AT3G55130
ABC transporters	Putative ABC transporter	AT4G15230
ABC transporters	Putative ABC transporter	AT3G53510
ABC transporters	Putative ABC transporter	AT1G15520
ABC transporters	Putative ABC transporter	AT1G17840
ABC transporters	Putative ABC transporter	AT1G59870
ABC transporters	Putative ABC transporter	AT3G21090
ABC transporters	Putative ABC transporter	AT3G52310
ABC transporters	Putative ABC transporter	AT5G06530
ABC transporters	Putative ABC transporter	AT5G13580
ABC transporters	Putative ABC transporter	AT5G52860
ABC transporters	Putative ABC transporter	AT1G51460
ABC transporters	Putative ABC transporter	AT1G51500
ABC transporters	Putative ABC transporter	AT1G31770
ABC transporters	Putative ABC transporter	AT1G53270
ABC transporters	Putative ABC transporter	AT5G19410
ABC transporters	Putative ABC transporter	AT3G25620
ABC transporters	Putative ABC transporter	AT1G15210
ABC transporters	Putative ABC transporter	AT1G71960
ABC transporters	Putative ABC transporter	AT3G16340
ABC transporters	Putative ABC transporter	AT2G01320
ABC transporters	Putative ABC transporter	AT2G13610
ABC transporters	Putative ABC transporter	AT2G26910
ABC transporters	Putative ABC transporter	AT2G28070
ABC transporters	Putative ABC transporter	AT2G29940
ABC transporters	Putative ABC transporter	AT2G37280
ABC transporters	Putative ABC transporter	AT2G37360
ABC transporters	Putative ABC transporter	AT2G39350
ABC transporters	Putative ABC transporter	AT2G41700
ABC transporters	Putative ABC transporter	AT2G36380
ABC transporters	Putative ABC transporter	AT4G25750
ABC transporters	Putative ABC transporter	AT4G27420
ABC transporters	Putative ABC transporter	AT1G66950
ABC transporters (Smart Lab)	PDR subfamily	At3g16340
ABC transporters (Smart Lab)	PDR subfamily	At4g15230
ABC transporters (Smart Lab)	PDR subfamily	At2g29940
ABC transporters (Smart Lab)	PDR subfamily	At2g26910
ABC transporters (Smart Lab)	PDR subfamily	At2g37280
ABC transporters (Smart Lab)	PDR subfamily	At2g36380
ABC transporters (Smart Lab)	PDR subfamily	At1g15210
ABC transporters (Smart Lab)	PDR subfamily	At1g59870
ABC transporters (Smart Lab)	PDR subfamily	At3g53480
ABC transporters (Smart Lab)	PDR subfamily	At3g30842
ABC transporters (Smart Lab)	PDR subfamily	At1g66950
ABC transporters (Smart Lab)	PDR subfamily	At1g15520
ABC transporters (Smart Lab)	PDR subfamily	At4g15218
ABC transporters (Smart Lab)	PDR subfamily	At4g15232
ABC transporters (Smart Lab)	PDR subfamily	At4g15238
ABI3VP1 Transcription Factor Family	NULL	At3g24650
ABI3VP1 Transcription Factor Family	NULL	At1g25560
ABI3VP1 Transcription Factor Family	NULL	At1g01030
ABI3VP1 Transcription Factor Family	NULL	At1g28300
ABI3VP1 Transcription Factor Family	NULL	At3g17010
ABI3VP1 Transcription Factor Family	NULL	At3g18990
ABI3VP1 Transcription Factor Family	NULL	At4g30080
ABI3VP1 Transcription Factor Family	NULL	At2g30470
ABI3VP1 Transcription Factor Family	NULL	At4g32010
ABI3VP1 Transcription Factor Family	NULL	At3g26790
ABI3VP1 Transcription Factor Family	NULL	At4g21550
ACA	NULL	At1g10130
ACA	NULL	At1g13210
ACA	NULL	At1g27770
ACA	NULL	At3g21180
ACA	NULL	At3g22910
ACA	NULL	At3g57330
ACA	NULL	At3g63380
ACA	NULL	At4g29900
ACA	NULL	At4g37640
ACA	NULL	At5g57110
ACA	NULL	At2g22960
ACA	NULL	At2g41560
ACA	NULL	At5g53010
ACBP60s	NULL	At4g25800
ACBP60s	NULL	At4g31000
ACBP60s	NULL	At5g26920
ACBP60s	NULL	At5g57580
ACBP60s	NULL	At5g62570
ACBP60s	NULL	At2g18750
ACBP60s	NULL	At2g24300
Acyl Lipid Metabolism Family	Acetyl-CoA carboxylase, alpha-carboxyltransferase 	At2g38040
Acyl Lipid Metabolism Family	Acetyl-CoA carboxylase, beta-carboxyltransferase	AtCg00500
Acyl Lipid Metabolism Family	Acetyl-CoA carboxylase, biotin carboxyl carrier protein	At5g16390
Acyl Lipid Metabolism Family	Acetyl-CoA carboxylase, biotin carboxyl carrier protein	At5g15530
Acyl Lipid Metabolism Family	Acetyl-CoA carboxylase, biotin carboxylase	At5g35360
Acyl Lipid Metabolism Family	Acetyl-CoA Synthetase	At5g36880 
Acyl Lipid Metabolism Family	Acetyl-CoA Synthetase	At1g55320 
Acyl Lipid Metabolism Family	Acetyl-CoA Synthetase	At5g23050
Acyl Lipid Metabolism Family	Acyl-ACP Thioesterase FatA	At3g25110
Acyl Lipid Metabolism Family	Acyl-ACP Thioesterase FatA	At4g13050
Acyl Lipid Metabolism Family	Acyl-ACP Thioesterase FatB	At1g08510
Acyl Lipid Metabolism Family	Acyl-Ceramide Synthase	At3g03310
Acyl Lipid Metabolism Family	Acyl-Ceramide Synthase	At1g27480 
Acyl Lipid Metabolism Family	Acyl-CoA : Diacylglycerol Acyltransferase	At2g19450 
Acyl Lipid Metabolism Family	Acyl-CoA : Diacylglycerol Acyltransferase	At3g51520
Acyl Lipid Metabolism Family	Acyl-CoA Binding Protein	At3g05420    
Acyl Lipid Metabolism Family	Acyl-CoA Binding Protein	At1g31812
Acyl Lipid Metabolism Family	Acyl-CoA Binding Protein	At5g53470
Acyl Lipid Metabolism Family	Acyl-CoA Binding Protein	At4g27780
Acyl Lipid Metabolism Family	Acyl-CoA Binding Protein	At4g24230
Acyl Lipid Metabolism Family	Acyl-CoA Dehydrogenase 	At3g06810
Acyl Lipid Metabolism Family	Acyl-CoA Desaturase-like	At1g06080
Acyl Lipid Metabolism Family	Acyl-CoA Desaturase-like	At2g31360
Acyl Lipid Metabolism Family	Acyl-CoA Desaturase-like	At1g06090
Acyl Lipid Metabolism Family	Acyl-CoA Desaturase-like	At1g06100
Acyl Lipid Metabolism Family	Acyl-CoA Desaturase-like	At1g06120
Acyl Lipid Metabolism Family	Acyl-CoA Desaturase-like	At1g06350
Acyl Lipid Metabolism Family	Acyl-CoA Desaturase-like	At1g06360
Acyl Lipid Metabolism Family	Acyl-CoA Desaturase-like	At3g15870
Acyl Lipid Metabolism Family	Acyl-CoA Oxidase	At3g51840
Acyl Lipid Metabolism Family	Acyl-CoA Oxidase	At5g65110
Acyl Lipid Metabolism Family	Acyl-CoA Oxidase	At1g06310
Acyl Lipid Metabolism Family	Acyl-CoA Oxidase	At4g16760
Acyl Lipid Metabolism Family	Acyl-CoA Oxidase	At1g06290
Acyl Lipid Metabolism Family	Acyl-CoA Oxidase	At2g35690
Acyl Lipid Metabolism Family	Acyl-CoA Thioesterase	At4g00520
Acyl Lipid Metabolism Family	Acyl-CoA Thioesterase	At1g01710
Acyl Lipid Metabolism Family	Acyl-CoA Thioesterase	At2g30720
Acyl Lipid Metabolism Family	Acyl-CoA Thioesterase	At5g48370
Acyl Lipid Metabolism Family	a-Dioxygenase-Peroxidase (involved in FA alpha-oxidation)	At1g73680
Acyl Lipid Metabolism Family	a-Dioxygenase-Peroxidase (involved in FA alpha-oxidation)	At3g01420
Acyl Lipid Metabolism Family	Alcohol-forming Fatty Acyl-Coenzyme A Reductase	At3g44540
Acyl Lipid Metabolism Family	Alcohol-forming Fatty Acyl-Coenzyme A Reductase	At3g44550
Acyl Lipid Metabolism Family	Alcohol-forming Fatty Acyl-Coenzyme A Reductase	At3g44560
Acyl Lipid Metabolism Family	Alcohol-forming Fatty Acyl-Coenzyme A Reductase	At5g22420
Acyl Lipid Metabolism Family	Alcohol-forming Fatty Acyl-Coenzyme A Reductase	At3g56700
Acyl Lipid Metabolism Family	Alcohol-forming Fatty Acyl-Coenzyme A Reductase	At4g33790
Acyl Lipid Metabolism Family	Alcohol-forming Fatty Acyl-Coenzyme A Reductase	At5g22500
Acyl Lipid Metabolism Family	Alcohol-forming Fatty Acyl-Coenzyme A Reductase	At3g11980
Acyl Lipid Metabolism Family	Allene Oxide Cyclase	At1g13280
Acyl Lipid Metabolism Family	Allene Oxide Cyclase	At3g25760
Acyl Lipid Metabolism Family	Allene Oxide Cyclase	At3g25770
Acyl Lipid Metabolism Family	Allene Oxide Cyclase	At3g25780
Acyl Lipid Metabolism Family	Allene Oxide Synthase 	At5g42650
Acyl Lipid Metabolism Family	alpha-Ketoacid Decarboxylase E1 alpha subunit, branched chain alpha-ketoacid dehydrogenase complex	At5g09300
Acyl Lipid Metabolism Family	alpha-Ketoacid Decarboxylase E1 alpha subunit, branched chain alpha-ketoacid dehydrogenase complex	At1g21400
Acyl Lipid Metabolism Family	alpha-Ketoacid Decarboxylase E1 beta subunit, branched chain alpha-ketoacid dehydrogenase complex	At3g13450
Acyl Lipid Metabolism Family	alpha-Ketoacid Decarboxylase E1 beta subunit, branched chain alpha-ketoacid dehydrogenase complex	At1g55510
Acyl Lipid Metabolism Family	ATP Citrate Lyase subunit A	At1g10670
Acyl Lipid Metabolism Family	ATP Citrate Lyase subunit A	At1g60810
Acyl Lipid Metabolism Family	ATP Citrate Lyase subunit A	At1g09430
Acyl Lipid Metabolism Family	ATP Citrate Lyase subunit B	At5g49460
Acyl Lipid Metabolism Family	ATP Citrate Lyase subunit B	At3g06650
Acyl Lipid Metabolism Family	Base-Exchange Enzyme	At1g15110
Acyl Lipid Metabolism Family	Bifunctional Wax Ester Synthase / DAGAT	At1g72110
Acyl Lipid Metabolism Family	Bifunctional Wax Ester Synthase / DAGAT	At3g49190
Acyl Lipid Metabolism Family	Bifunctional Wax Ester Synthase / DAGAT	At3g49210
Acyl Lipid Metabolism Family	Bifunctional Wax Ester Synthase / DAGAT	At5g12420
Acyl Lipid Metabolism Family	Bifunctional Wax Ester Synthase / DAGAT	At5g16350
Acyl Lipid Metabolism Family	Bifunctional Wax Ester Synthase / DAGAT	At5g37300
Acyl Lipid Metabolism Family	Bifunctional Wax Ester Synthase / DAGAT	At5g53390
Acyl Lipid Metabolism Family	Bifunctional Wax Ester Synthase / DAGAT	At2g38995
Acyl Lipid Metabolism Family	Bifunctional Wax Ester Synthase / DAGAT	At3g49200
Acyl Lipid Metabolism Family	Bifunctional Wax Ester Synthase / DAGAT	At5g22490
Acyl Lipid Metabolism Family	Bifunctional Wax Ester Synthase / DAGAT	At5g53380
Acyl Lipid Metabolism Family	Caleosin	At1g23250
Acyl Lipid Metabolism Family	Caleosin	At1g70670
Acyl Lipid Metabolism Family	Caleosin	At1g70680
Acyl Lipid Metabolism Family	Caleosin	At4g26740
Acyl Lipid Metabolism Family	Caleosin	At5g55240
Acyl Lipid Metabolism Family	Caleosin	At1g23240
Acyl Lipid Metabolism Family	Caleosin	At2g33380
Acyl Lipid Metabolism Family	CER1 Protein involved in wax synthesis	At1g02205
Acyl Lipid Metabolism Family	CER1 Protein involved in wax synthesis	At1g02190
Acyl Lipid Metabolism Family	CER1 Protein involved in wax synthesis	At2g37700
Acyl Lipid Metabolism Family	CER1 Protein involved in wax synthesis	At5g57800 
Acyl Lipid Metabolism Family	CER1 Protein involved in wax synthesis	At5g28280
Acyl Lipid Metabolism Family	CER3 Protein involved in wax biosynthesis	At5g02310
Acyl Lipid Metabolism Family	Choline Kinase 	At1g34100
Acyl Lipid Metabolism Family	Choline Kinase 	At4g09760
Acyl Lipid Metabolism Family	Choline Kinase 	At1g71697
Acyl Lipid Metabolism Family	Choline Kinase 	At1g74320
Acyl Lipid Metabolism Family	CTP : Cholinephosphate Cytidylyltransferase	At2g32260
Acyl Lipid Metabolism Family	CTP : Cholinephosphate Cytidylyltransferase	At4g15130
Acyl Lipid Metabolism Family	CTP : Ethanolaminephosphate Cytidylyltransferase 	At2g38670
Acyl Lipid Metabolism Family	Cyclopropane Fatty Acid Synthase	At3g23530
Acyl Lipid Metabolism Family	Cyclopropane Fatty Acid Synthase	At3g23470
Acyl Lipid Metabolism Family	Cyclopropane Fatty Acid Synthase	At3g23510
Acyl Lipid Metabolism Family	Cytosolic Holo-ACP Synthase	At2g02770
Acyl Lipid Metabolism Family	Cytosolic Homomeric Acetyl-CoA Carboxylase	At1g36160
Acyl Lipid Metabolism Family	Cytosolic Lipoxygenase 	At3g22400
Acyl Lipid Metabolism Family	Cytosolic Lipoxygenase 	At1g55020
Acyl Lipid Metabolism Family	Cytosolic Phospholipase A2 	At1g61850
Acyl Lipid Metabolism Family	Cytosolic Phospholipase A2 	At3g45880
Acyl Lipid Metabolism Family	DAD1-like Acylhydrolase	At2g44810
Acyl Lipid Metabolism Family	DAD1-like Acylhydrolase	At1g05800
Acyl Lipid Metabolism Family	DAD1-like Acylhydrolase	At1g06250
Acyl Lipid Metabolism Family	DAD1-like Acylhydrolase	At1g06800
Acyl Lipid Metabolism Family	DAD1-like Acylhydrolase	At1g30370
Acyl Lipid Metabolism Family	DAD1-like Acylhydrolase	At1g51440
Acyl Lipid Metabolism Family	DAD1-like Acylhydrolase	At2g30550
Acyl Lipid Metabolism Family	DAD1-like Acylhydrolase	At2g31690
Acyl Lipid Metabolism Family	DAD1-like Acylhydrolase	At4g16820
Acyl Lipid Metabolism Family	DAD1-like Acylhydrolase	At4g18550
Acyl Lipid Metabolism Family	DAD1-like Acylhydrolase	At2g31100
Acyl Lipid Metabolism Family	DAD1-like Acylhydrolase	At2g42690
Acyl Lipid Metabolism Family	Diacylglycerol Cholinephosphotransferase	At3g25585
Acyl Lipid Metabolism Family	Diacylglycerol Kinase 	At5g63770
Acyl Lipid Metabolism Family	Diacylglycerol Kinase 	At5g07920
Acyl Lipid Metabolism Family	Diacylglycerol Kinase 	At4g28130
Acyl Lipid Metabolism Family	Diacylglycerol Kinase 	At2g18730
Acyl Lipid Metabolism Family	Diacylglycerol Kinase 	At2g20900
Acyl Lipid Metabolism Family	Diacylglycerol Kinase 	At5g57690
