OrthoGroup	Gene
OG0004848	AL1G11820
OG0000148	AL1G11840
OG0004849	AL1G11850
OG0000450	AL1G11860
OG0000450	AL1G11870
OG0004850	AL1G11880
OG0004851	AL1G11890
OG0001826	AL1G11900
OG0004852	AL1G11930
OG0000125	AL1G11940
OG0000100	AL1G11960
OG0004853	AL1G11970
OG0004854	AL1G11980
OG0004855	AL1G11990
OG0004856	AL1G12000
OG0004857	AL1G12010
OG0004858	AL1G12020
OG0004859	AL1G12030
OG0020193	AL1G12040
OG0020194	AL1G12050
OG0004860	AL1G12060
OG0004861	AL1G12070
OG0004862	AL1G12090
OG0004863	AL1G12110
OG0004864	AL1G12120
OG0004865	AL1G12130
OG0004866	AL1G12160
OG0004867	AL1G12170
OG0004868	AL1G12180
OG0004869	AL1G12190
OG0000894	AL1G12200
OG0004870	AL1G12210
OG0000320	AL1G12220
OG0004871	AL1G12240
OG0004872	AL1G12260
OG0004873	AL1G12270
OG0004874	AL1G12280
OG0020195	AL1G12290
OG0002553	AL1G12300
OG0004875	AL1G12330
OG0004876	AL1G12340
OG0004877	AL1G12350
OG0000895	AL1G12360
OG0000895	AL1G12370
OG0022384	AL1G12380
OG0004878	AL1G12390
OG0002554	AL1G12400
OG0002555	AL1G12410
OG0002557	AL1G12430
OG0004879	AL1G12440
OG0004880	AL1G12450
OG0004881	AL1G12460
OG0000897	AL1G12470
OG0004882	AL1G12480
OG0004883	AL1G12490
OG0004884	AL1G12500
OG0004885	AL1G12510
OG0004886	AL1G12520
OG0000321	AL1G12530
OG0004887	AL1G12540
OG0004888	AL1G12550
OG0004889	AL1G12560
OG0004890	AL1G12570
OG0004891	AL1G12580
OG0004892	AL1G12590
OG0000898	AL1G12600
OG0000714	AL1G12610
OG0004893	AL1G12620
OG0020197	AL1G12640
OG0004894	AL1G12650
OG0019903	AL1G12660
OG0004895	AL1G12670
OG0004896	AL1G12680
OG0000586	AL1G12690
OG0000653	AL1G12710
OG0000242	AL1G12720
OG0001827	AL1G12730
OG0004897	AL1G12740
OG0004898	AL1G12750
OG0004899	AL1G12760
OG0000899	AL1G12770
OG0004900	AL1G12780
OG0000588	AL1G12790
OG0004901	AL1G12800
OG0004902	AL1G12810
OG0004903	AL1G12820
OG0004904	AL1G12830
OG0004905	AL1G12840
OG0004906	AL1G12850
OG0001828	AL1G12860
OG0004907	AL1G12870
OG0004908	AL1G12880
OG0004909	AL1G12890
OG0004910	AL1G12900
OG0004911	AL1G12910
OG0004912	AL1G12920
OG0004914	AL1G12930
OG0000900	AL1G12940
OG0004915	AL1G12950
OG0004916	AL1G12960
OG0004917	AL1G12970
OG0004918	AL1G12980
OG0000896	AL1G12990
OG0001833	AL1G13000
OG0002556	AL1G13010
OG0001829	AL1G13030
OG0004919	AL1G13040
OG0004920	AL1G13050
OG0004921	AL1G13060
OG0004922	AL1G13070
OG0004923	AL1G13090
OG0004924	AL1G13100
OG0004925	AL1G13110
OG0004926	AL1G13120
OG0004927	AL1G13130
OG0004928	AL1G13150
OG0000243	AL1G13160
OG0000901	AL1G13170
OG0004929	AL1G13180
OG0002040	AL1G13190
OG0001830	AL1G13200
OG0002558	AL1G13210
OG0001830	AL1G13230
OG0000587	AL1G13240
OG0000587	AL1G13250
OG0019224	AL1G13260
OG0004932	AL1G13270
OG0004933	AL1G13280
OG0004934	AL1G13300
OG0004935	AL1G13310
OG0004936	AL1G13320
OG0004937	AL1G13330
OG0004938	AL1G13350
OG0004939	AL1G13360
OG0004940	AL1G13370
OG0004941	AL1G13380
OG0004942	AL1G13390
OG0022422	AL1G13400
OG0002559	AL1G13430
OG0001831	AL1G13440
OG0001832	AL1G13450
OG0022494	AL1G13460
OG0004943	AL1G13470
OG0004944	AL1G13480
OG0000902	AL1G13490
OG0004945	AL1G13510
OG0004946	AL1G13520
OG0001833	AL1G13540
OG0000896	AL1G13550
OG0004947	AL1G13560
OG0000903	AL1G13570
OG0004948	AL1G13580
OG0004949	AL1G13592
OG0022463	AL1G13594
OG0022400	AL1G13600
OG0004950	AL1G13610
OG0004951	AL1G13620
OG0004952	AL1G13630
OG0004953	AL1G13640
OG0004954	AL1G13650
OG0004955	AL1G13660
OG0004956	AL1G13670
OG0004957	AL1G13680
OG0004958	AL1G13690
OG0004959	AL1G13700
OG0004960	AL1G13710
OG0004961	AL1G13720
OG0004962	AL1G13730
OG0004963	AL1G13740
OG0004964	AL1G13750
OG0000904	AL1G13760
OG0000149	AL1G13770
OG0000905	AL1G13780
OG0004965	AL1G13790
OG0004966	AL1G13800
OG0004967	AL1G13810
OG0004968	AL1G13820
OG0004969	AL1G13830
OG0004970	AL1G13840
OG0004971	AL1G13850
OG0004972	AL1G13860
OG0000101	AL1G13870
OG0004973	AL1G13880
OG0004974	AL1G13890
OG0004975	AL1G13900
OG0004976	AL1G13910
OG0004977	AL1G13930
OG0000906	AL1G13940
OG0004978	AL1G13950
OG0004979	AL1G13960
OG0001568	AL1G13970
OG0004980	AL1G13980
OG0004981	AL1G14000
OG0004982	AL1G14010
OG0000907	AL1G14020
OG0004983	AL1G14030
OG0004984	AL1G14070
OG0000908	AL1G14080
OG0004985	AL1G14090
OG0022427	AL1G14100
OG0002592	AL1G14110
OG0004986	AL1G14120
OG0000322	AL1G14130
OG0001835	AL1G14140
OG0001835	AL1G14150
OG0000909	AL1G14160
OG0004987	AL1G14170
OG0004988	AL1G14180
OG0004989	AL1G14190
OG0020196	AL1G14200
OG0004990	AL1G14220
OG0004991	AL1G14230
OG0004992	AL1G14240
OG0004993	AL1G14250
OG0004994	AL1G14260
OG0004995	AL1G14270
OG0000910	AL1G14280
OG0000911	AL1G14290
OG0004996	AL1G14300
OG0000912	AL1G14310
OG0004997	AL1G14320
OG0002536	AL1G14330
OG0020199	AL1G14340
OG0022365	AL1G14350
OG0004998	AL1G14360
OG0004999	AL1G14370
OG0005000	AL1G14380
OG0005001	AL1G14390
OG0005002	AL1G14400
OG0005003	AL1G14410
OG0005004	AL1G14420
OG0000913	AL1G14430
OG0005005	AL1G14450
OG0000126	AL1G14460
OG0000126	AL1G14470
OG0001836	AL1G14480
OG0020200	AL1G14490
OG0005006	AL1G14500
OG0005007	AL1G14510
OG0020201	AL1G14520
OG0000452	AL1G14530
OG0005008	AL1G14550
OG0005009	AL1G14560
OG0022417	AL1G14570
OG0005010	AL1G14580
OG0005011	AL1G14590
OG0005012	AL1G14600
OG0005013	AL1G14610
OG0005014	AL1G14620
OG0005015	AL1G14630
OG0005016	AL1G14640
OG0022374	AL1G14650
OG0005017	AL1G14660
OG0005018	AL1G14670
OG0005019	AL1G14680
OG0005020	AL1G14690
OG0005021	AL1G14700
OG0005022	AL1G14710
OG0005023	AL1G14720
OG0005024	AL1G14730
OG0005025	AL1G14740
OG0020202	AL1G14750
OG0022388	AL1G14760
OG0022466	AL1G14770
OG0022533	AL1G14780
OG0022375	AL1G14790
OG0022461	AL1G14800
OG0022381	AL1G14810
OG0000914	AL1G14830
OG0005026	AL1G14840
OG0020203	AL1G14850
OG0002561	AL1G14860
OG0005027	AL1G14870
OG0005028	AL1G14880
OG0000915	AL1G14900
OG0000916	AL1G14910
OG0005029	AL1G14920
OG0000917	AL1G14930
OG0000974	AL1G14940
OG0019894	AL1G14950
OG0005030	AL1G14960
OG0005031	AL1G14970
OG0005032	AL1G14980
OG0005033	AL1G14990
OG0005034	AL1G15000
OG0000918	AL1G15010
OG0000918	AL1G15020
OG0000918	AL1G15030
OG0005035	AL1G15040
OG0005036	AL1G15050
OG0005038	AL1G15060
OG0005037	AL1G15070
OG0022496	AL1G15080
OG0002010	AL1G15100
OG0005039	AL1G15110
OG0005040	AL1G15120
OG0005041	AL1G15130
OG0005042	AL1G15140
OG0005043	AL1G15150
OG0005044	AL1G15160
OG0005045	AL1G15180
OG0005046	AL1G15190
OG0005047	AL1G15210
OG0005048	AL1G15220
OG0005049	AL1G15250
OG0005050	AL1G15260
OG0005051	AL1G15270
OG0005052	AL1G15280
OG0005053	AL1G15290
OG0005054	AL1G15300
OG0000100	AL1G15310
OG0005055	AL1G15320
OG0005056	AL1G15330
OG0005057	AL1G15340
OG0002562	AL1G15350
OG0000323	AL1G15360
OG0004454	AL1G15370
OG0000919	AL1G15380
OG0005058	AL1G15390
OG0005059	AL1G15400
OG0020206	AL1G15410
OG0000919	AL1G15430
OG0000920	AL1G15440
OG0000931	AL1G15450
OG0005147	AL1G15460
OG0005148	AL1G15470
OG0005060	AL1G15490
OG0005061	AL1G15500
OG0005062	AL1G15510
OG0000921	AL1G15520
OG0005063	AL1G15530
OG0005064	AL1G15540
OG0005065	AL1G15550
OG0002563	AL1G15560
OG0005066	AL1G15570
OG0001837	AL1G15580
OG0001837	AL1G15590
OG0005067	AL1G15600
OG0005068	AL1G15610
OG0000922	AL1G15620
OG0022478	AL1G15630
OG0000324	AL1G15640
OG0000324	AL1G15650
OG0005069	AL1G15660
OG0005070	AL1G15670
OG0002008	AL1G15680
OG0005071	AL1G15700
OG0005072	AL1G15720
OG0005074	AL1G15730
OG0000488	AL1G15740
OG0005075	AL1G15750
OG0005076	AL1G15760
OG0022491	AL1G15770
OG0005077	AL1G15780
OG0005078	AL1G15790
OG0005079	AL1G15800
OG0005080	AL1G15810
OG0005081	AL1G15820
OG0005082	AL1G15830
OG0005083	AL1G15840
OG0005084	AL1G15860
OG0005085	AL1G15870
OG0005086	AL1G15880
OG0005087	AL1G15890
OG0005088	AL1G15900
OG0005089	AL1G15910
OG0005090	AL1G15920
OG0002042	AL1G15940
OG0005091	AL1G15950
OG0005092	AL1G15960
OG0000196	AL1G15970
OG0000196	AL1G15980
OG0005093	AL1G15990
OG0005094	AL1G16000
OG0005095	AL1G16010
OG0005096	AL1G16020
OG0005097	AL1G16030
OG0000589	AL1G16040
OG0000589	AL1G16050
OG0005098	AL1G16060
OG0000924	AL1G16070
OG0005099	AL1G16080
OG0005100	AL1G16100
OG0022431	AL1G16110
OG0005101	AL1G16120
OG0005102	AL1G16130
OG0005103	AL1G16140
OG0005104	AL1G16170
OG0000925	AL1G16180
OG0005105	AL1G16190
OG0002564	AL1G16200
OG0000926	AL1G16210
OG0005106	AL1G16220
OG0005107	AL1G16230
OG0022482	AL1G16240
OG0005108	AL1G16260
OG0020209	AL1G16270
OG0005109	AL1G16280
OG0005110	AL1G16290
OG0000927	AL1G16310
OG0000927	AL1G16320
OG0005111	AL1G16330
OG0005112	AL1G16340
OG0005113	AL1G16350
OG0000928	AL1G16360
OG0000928	AL1G16370
OG0005114	AL1G16390
OG0000325	AL1G16400
OG0005115	AL1G16410
OG0005116	AL1G16420
OG0005117	AL1G16430
OG0000929	AL1G16440
OG0019951	AL1G16450
OG0005118	AL1G16460
OG0005119	AL1G16470
OG0005120	AL1G16480
OG0005121	AL1G16490
OG0005122	AL1G16510
OG0005123	AL1G16520
OG0001838	AL1G16530
OG0005124	AL1G16540
OG0005125	AL1G16550
OG0005126	AL1G16560
OG0005127	AL1G16570
OG0005128	AL1G16580
OG0005129	AL1G16590
OG0001839	AL1G16600
OG0001839	AL1G16610
OG0005130	AL1G16620
OG0002566	AL1G16630
OG0000590	AL1G16640
OG0000590	AL1G16650
OG0000590	AL1G16660
OG0005131	AL1G16670
OG0022359	AL1G16680
OG0001840	AL1G16690
OG0005132	AL1G16700
OG0000453	AL1G16710
OG0005133	AL1G16720
OG0005134	AL1G16730
OG0005135	AL1G16740
OG0020210	AL1G16750
OG0000930	AL1G16760
OG0005136	AL1G16770
OG0005137	AL1G16780
OG0005138	AL1G16790
OG0005139	AL1G16800
OG0005140	AL1G16810
OG0005141	AL1G16820
OG0000127	AL1G16840
OG0005142	AL1G16850
OG0005143	AL1G16860
OG0005144	AL1G16890
OG0001841	AL1G16910
OG0005145	AL1G16920
OG0005146	AL1G16930
OG0005149	AL1G16940
OG0005150	AL1G16950
OG0005151	AL1G16960
OG0005152	AL1G16990
OG0005153	AL1G17010
OG0005154	AL1G17020
OG0005155	AL1G17030
OG0005156	AL1G17040
OG0005157	AL1G17070
OG0002567	AL1G17080
OG0000100	AL1G17090
OG0005158	AL1G17140
OG0005159	AL1G17150
OG0019880	AL1G17160
OG0005160	AL1G17180
OG0000439	AL1G17190
OG0005161	AL1G17200
OG0005162	AL1G17210
OG0005163	AL1G17230
OG0005164	AL1G17240
OG0005165	AL1G17250
OG0005166	AL1G17260
OG0005167	AL1G17270
OG0000932	AL1G17290
OG0002352	AL1G17300
OG0020214	AL1G17310
OG0000933	AL1G17330
OG0005168	AL1G17340
OG0005169	AL1G17350
OG0005170	AL1G17360
OG0005171	AL1G17380
OG0005172	AL1G17390
OG0005173	AL1G17400
OG0005174	AL1G17410
OG0005175	AL1G17420
OG0005176	AL1G17430
OG0005177	AL1G17440
OG0005178	AL1G17450
OG0005179	AL1G17460
OG0005180	AL1G17470
OG0005181	AL1G17480
OG0005182	AL1G17490
OG0000934	AL1G17510
OG0000935	AL1G17520
OG0005183	AL1G17530
OG0020216	AL1G17540
OG0005184	AL1G17550
OG0000244	AL1G17560
OG0000936	AL1G17570
OG0005185	AL1G17580
OG0005186	AL1G17590
OG0000034	AL1G17600
OG0005187	AL1G17610
OG0001843	AL1G17620
OG0000937	AL1G17630
OG0000937	AL1G17640
OG0001843	AL1G17650
OG0022481	AL1G17670
OG0020218	AL1G17680
OG0000938	AL1G17690
OG0005188	AL1G17700
OG0005189	AL1G17710
OG0005190	AL1G17720
OG0005191	AL1G17730
OG0005192	AL1G17740
OG0000939	AL1G17750
OG0005193	AL1G17770
OG0000940	AL1G17780
OG0000940	AL1G17790
OG0022500	AL1G17800
OG0005194	AL1G17810
OG0005195	AL1G17820
OG0005196	AL1G17830
OG0005197	AL1G17840
OG0022473	AL1G17850
OG0000033	AL1G17860
OG0000941	AL1G17870
OG0005198	AL1G17880
OG0022450	AL1G17890
OG0005199	AL1G17900
OG0005200	AL1G17910
OG0005201	AL1G17920
OG0005202	AL1G17930
OG0005203	AL1G17940
OG0005204	AL1G17950
OG0005205	AL1G17960
OG0005206	AL1G17970
OG0022380	AL1G17980
OG0022413	AL1G17990
OG0005207	AL1G18000
OG0001498	AL1G18010
OG0005208	AL1G18020
OG0000942	AL1G18030
OG0000150	AL1G18060
OG0000022	AL1G18070
OG0005209	AL1G18080
OG0000941	AL1G18090
OG0000033	AL1G18100
OG0001844	AL1G18110
OG0002568	AL1G18120
OG0005210	AL1G18130
OG0005211	AL1G18140
OG0005212	AL1G18150
OG0005213	AL1G18160
OG0001845	AL1G18170
OG0022430	AL1G18180
OG0002569	AL1G18200
OG0000390	AL1G18210
OG0000390	AL1G18230
OG0000390	AL1G18260
OG0021906	AL1G18280
OG0019769	AL1G18290
OG0019768	AL1G18300
OG0019767	AL1G18310
OG0019766	AL1G18320
OG0019765	AL1G18330
OG0001765	AL1G18340
OG0001765	AL1G18350
OG0014243	AL1G18360
OG0014242	AL1G18370
OG0001246	AL1G18380
OG0021112	AL1G18390
OG0014241	AL1G18400
OG0014240	AL1G18410
OG0002237	AL1G18420
OG0014239	AL1G18430
OG0001247	AL1G18440
OG0000389	AL1G18450
OG0000389	AL1G18460
OG0014238	AL1G18470
OG0014237	AL1G18500
OG0014236	AL1G18510
OG0014235	AL1G18520
OG0014234	AL1G18530
OG0000163	AL1G18540
OG0014233	AL1G18550
OG0014232	AL1G18560
OG0014231	AL1G18570
OG0000022	AL1G18580
OG0014230	AL1G18590
OG0022536	AL1G18600
OG0002404	AL1G18610
OG0022364	AL1G18620
OG0022502	AL1G18630
OG0022372	AL1G18640
OG0002236	AL1G18660
OG0014229	AL1G18680
OG0014228	AL1G18690
OG0014227	AL1G18700
OG0003463	AL1G18720
OG0022518	AL1G18730
OG0014226	AL1G18740
OG0002235	AL1G18750
OG0014225	AL1G18760
OG0000514	AL1G18770
OG0014224	AL1G18780
OG0014223	AL1G18790
OG0014222	AL1G18800
OG0014221	AL1G18810
OG0014220	AL1G18820
OG0001587	AL1G18830
OG0014219	AL1G18840
OG0014218	AL1G18850
OG0014217	AL1G18860
OG0002828	AL1G18870
OG0014216	AL1G18880
OG0014215	AL1G18890
OG0014214	AL1G18900
OG0014213	AL1G18910
OG0014212	AL1G18920
OG0014211	AL1G18930
OG0014210	AL1G18940
OG0014209	AL1G18950
OG0014208	AL1G18960
OG0014207	AL1G18970
OG0014206	AL1G18980
OG0014205	AL1G18990
OG0014204	AL1G19000
OG0014203	AL1G19010
OG0014202	AL1G19020
OG0014201	AL1G19030
OG0014200	AL1G19040
OG0014199	AL1G19050
OG0014198	AL1G19060
OG0014197	AL1G19070
OG0014196	AL1G19090
OG0014195	AL1G19100
OG0003621	AL1G19110
OG0014194	AL1G19120
OG0014193	AL1G19130
OG0014192	AL1G19140
OG0014191	AL1G19150
OG0014190	AL1G19160
OG0002234	AL1G19170
OG0014189	AL1G19180
OG0014188	AL1G19190
OG0014187	AL1G19200
OG0014186	AL1G19210
OG0014185	AL1G19220
OG0014184	AL1G19230
OG0014183	AL1G19240
OG0014182	AL1G19250
OG0014181	AL1G19260
OG0014180	AL1G19270
OG0014179	AL1G19280
OG0014178	AL1G19290
OG0000059	AL1G19310
OG0002233	AL1G19320
OG0002233	AL1G19330
OG0014177	AL1G19340
OG0014176	AL1G19350
OG0014175	AL1G19360
OG0014174	AL1G19370
OG0014173	AL1G19390
OG0014172	AL1G19400
OG0014171	AL1G19410
OG0014170	AL1G19420
OG0014169	AL1G19430
OG0014168	AL1G19440
OG0014167	AL1G19450
OG0022458	AL1G19460
OG0014166	AL1G19470
OG0001586	AL1G19480
OG0001586	AL1G19490
OG0014165	AL1G19500
OG0014164	AL1G19510
OG0002232	AL1G19540
OG0014163	AL1G19570
OG0014162	AL1G19580
OG0014161	AL1G19590
OG0014160	AL1G19600
OG0014159	AL1G19620
OG0014158	AL1G19630
OG0014157	AL1G19640
OG0000125	AL1G19650
OG0014156	AL1G19660
OG0014155	AL1G19670
OG0000014	AL1G19680
OG0000708	AL1G19690
OG0000708	AL1G19700
OG0002230	AL1G19710
OG0002230	AL1G19720
OG0014154	AL1G19730
OG0002229	AL1G19740
OG0014153	AL1G19750
OG0014152	AL1G19760
OG0014151	AL1G19770
OG0014150	AL1G19780
OG0014149	AL1G19790
OG0014148	AL1G19800
OG0014147	AL1G19810
OG0014146	AL1G19820
OG0014145	AL1G19830
OG0001530	AL1G19860
OG0014144	AL1G19880
OG0014143	AL1G19890
OG0014142	AL1G19900
OG0014141	AL1G19910
OG0014140	AL1G19930
OG0014139	AL1G19940
OG0000350	AL1G19950
OG0014138	AL1G19960
OG0014137	AL1G19970
OG0014136	AL1G19980
OG0014135	AL1G19990
OG0003586	AL1G20010
OG0019895	AL1G20020
OG0019073	AL1G20030
OG0019074	AL1G20040
OG0019075	AL1G20050
OG0019076	AL1G20060
OG0019077	AL1G20070
OG0019078	AL1G20080
OG0019079	AL1G20090
OG0019080	AL1G20100
OG0019081	AL1G20110
OG0000188	AL1G20120
OG0019082	AL1G20130
OG0019083	AL1G20140
OG0019084	AL1G20150
OG0019085	AL1G20160
OG0019086	AL1G20170
OG0001725	AL1G20180
OG0019087	AL1G20190
OG0003523	AL1G20200
OG0019088	AL1G20210
OG0000118	AL1G20220
OG0019089	AL1G20230
OG0000188	AL1G20240
OG0019090	AL1G20250
OG0019091	AL1G20260
OG0019092	AL1G20270
OG0019093	AL1G20280
OG0019094	AL1G20290
OG0019095	AL1G20300
OG0019096	AL1G20310
OG0019097	AL1G20320
OG0002429	AL1G20330
OG0002406	AL1G20340
OG0019098	AL1G20350
OG0002218	AL1G20360
OG0019099	AL1G20370
OG0019100	AL1G20380
OG0019101	AL1G20390
OG0019102	AL1G20400
OG0019103	AL1G20410
OG0019104	AL1G20420
OG0019105	AL1G20430
OG0000754	AL1G20440
OG0006889	AL1G20450
OG0006888	AL1G20460
OG0006887	AL1G20470
OG0006886	AL1G20480
OG0006885	AL1G20490
OG0006884	AL1G20500
OG0006883	AL1G20510
OG0006882	AL1G20520
OG0006881	AL1G20530
OG0006880	AL1G20540
OG0006879	AL1G20550
OG0006878	AL1G20570
OG0006877	AL1G20580
OG0006876	AL1G20590
OG0006875	AL1G20612
OG0002654	AL1G20650
OG0001118	AL1G20690
OG0020348	AL1G20700
OG0006874	AL1G20710
OG0006873	AL1G20720
OG0006872	AL1G20730
OG0006871	AL1G20740
OG0006870	AL1G20750
OG0006869	AL1G20760
OG0006868	AL1G20774
OG0006867	AL1G20780
OG0001922	AL1G20790
OG0002654	AL1G20800
OG0006866	AL1G20810
OG0006865	AL1G20820
OG0006864	AL1G20830
OG0006863	AL1G20840
OG0001117	AL1G20850
OG0006862	AL1G20860
OG0006861	AL1G20870
OG0006860	AL1G20900
OG0000153	AL1G20910
OG0001116	AL1G20920
OG0020347	AL1G20930
OG0006859	AL1G20940
OG0006858	AL1G20950
OG0006857	AL1G20990
OG0006856	AL1G21000
OG0006855	AL1G21010
OG0001115	AL1G21020
OG0006854	AL1G21030
OG0006853	AL1G21040
OG0006852	AL1G21050
OG0006851	AL1G21070
OG0001921	AL1G21080
OG0006850	AL1G21090
OG0001114	AL1G21100
OG0001114	AL1G21110
OG0006849	AL1G21120
OG0006848	AL1G21140
OG0009199	AL1G21150
OG0006847	AL1G21160
OG0006846	AL1G21170
OG0006845	AL1G21180
OG0006844	AL1G21190
OG0020346	AL1G21200
OG0000337	AL1G21210
OG0006843	AL1G21230
OG0022445	AL1G21240
OG0006842	AL1G21250
OG0006841	AL1G21260
OG0006840	AL1G21280
OG0001113	AL1G21290
OG0002604	AL1G21300
